gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
ENSG00000128052.10	KDR	protein_coding	1896	958	938	35.6523	9.5721	8.8538
ENSG00000128052.10	KDR	protein_coding	5212	2573	2639	59.7938	15.6299	14.5095
ENSG00000128052.10	KDR	protein_coding	8119	4058	4061	72.8968	22.9144	27.5991
ENSG00000128052.10	KDR	protein_coding	964	455	509	9.4492	2.7145	2.7346
ENSG00000128052.10	KDR	protein_coding	4761	2363	2398	29.7013	9.4741	10.0043
ENSG00000128052.10	KDR	protein_coding	642	299	343	5.5533	2.2188	3.1042
ENSG00000128052.10	KDR	protein_coding	1059	517	542	9.9476	3.2833	3.5921
ENSG00000128052.10	KDR	protein_coding	653	321	332	10.2030	2.5273	2.2439
ENSG00000128052.10	KDR	protein_coding	6661	3344	3318	44.6771	12.5756	13.6769
ENSG00000128052.10	KDR	protein_coding	974	464	510	14.5147	4.3404	4.1695
ENSG00000128052.10	KDR	protein_coding	1693	847	846	11.7820	3.8443	3.8631
ENSG00000128052.10	KDR	protein_coding	3059	1520	1539	29.9928	14.1259	13.3994
ENSG00000128052.10	KDR	protein_coding	556	273	283	5.0306	1.4962	1.6346
ENSG00000128052.10	KDR	protein_coding	4124	2041	2083	41.3621	9.7122	9.3274
ENSG00000128052.10	KDR	protein_coding	5417	2718	2699	59.1004	18.5209	21.1016
ENSG00000128052.10	KDR	protein_coding	3412	1669	1744	31.1620	8.7894	8.1373
ENSG00000128052.10	KDR	protein_coding	174	84	90	1.8700	0.7721	0.7923
ENSG00000128052.10	KDR	protein_coding	1519	745	774	22.3162	6.2035	5.8799
ENSG00000128052.10	KDR	protein_coding	4466	2154	2312	40.2565	12.2971	11.9897
ENSG00000128052.10	KDR	protein_coding	929	469	460	13.0678	3.4295	3.2080
ENSG00000128052.10	KDR	protein_coding	1495	730	765	12.3861	3.9602	4.0071
ENSG00000128052.10	KDR	protein_coding	1035	505	530	11.3575	4.6411	4.6592
